date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2020-11-27,194709,159884,28620,3871,0.8551963186517659,0.553
2020-11-28,196325,161106,28139,3765,0.840823522380924,0.5378571428571428
2020-11-29,197439,161396,28284,3744,0.8451562780135062,0.5348571428571428
2020-11-30,198499,162250,28229,3739,0.8435128189804578,0.5341428571428571
2020-12-01,200047,163998,27611,3594,0.8250463156636586,0.5134285714285715
2020-12-02,201883,165532,26986,3478,0.8063706448335625,0.49685714285714283
2020-12-03,203898,166909,26675,3415,0.7970776310285066,0.4878571428571429
2020-12-04,205511,168321,26283,3283,0.7853642502838702,0.469
2020-12-05,206880,169327,26040,3220,0.7781031494651288,0.46
2020-12-06,207747,169555,26262,3210,0.784736747743979,0.4585714285714286
2020-12-07,208661,170254,26333,3188,0.7868583039502779,0.4554285714285714
2020-12-08,210099,171837,25882,3078,0.7733819398792805,0.4397142857142857
2020-12-09,211869,173216,25526,3031,0.7627442777744576,0.433
2020-12-10,213601,174627,25199,2949,0.7529731667961513,0.42128571428571426
2020-12-11,215209,175860,24943,2874,0.7453236120241439,0.4105714285714286
2020-12-12,216516,176712,24948,2851,0.7454730173907846,0.4072857142857143
2020-12-13,217172,176964,25207,2861,0.7532122153827765,0.4087142857142857
2020-12-14,218178,177616,25449,2896,0.7604434351281898,0.4137142857142857
2020-12-15,219441,179056,25207,2871,0.7532122153827765,0.41014285714285714
2020-12-16,221271,180280,25282,2840,0.7554532958823881,0.4057142857142857
2020-12-17,222516,181475,25149,2798,0.7514791131297436,0.3997142857142857
2020-12-18,223859,182634,24945,2764,0.7453833741708003,0.39485714285714285
2020-12-19,225032,183540,24819,2718,0.7416183589314528,0.3882857142857143
2020-12-20,225666,183775,24961,2745,0.7458614713440507,0.3921428571428571
2020-12-21,226773,184433,25201,2737,0.7530329289428076,0.391
2020-12-22,228239,186027,24932,2719,0.7449949202175342,0.3884285714285714
2020-12-23,229918,187241,24852,2701,0.7426044343512819,0.38585714285714284
2020-12-24,231410,188608,24607,2643,0.7352835713858842,0.37757142857142856
2020-12-25,232372,189414,24359,2616,0.727873065200502,0.3737142857142857
2020-12-26,233124,189687,24444,2640,0.7304129564333951,0.37714285714285717
2020-12-27,233611,189910,24620,2650,0.7356720253391502,0.37857142857142856
2020-12-28,234604,190691,24645,2694,0.736419052172354,0.38485714285714284
2020-12-29,236145,191775,24743,2666,0.7393473973585131,0.38085714285714284
2020-12-30,237406,193014,24560,2652,0.7338791609394609,0.37885714285714284
2020-12-31,238863,194190,24407,2625,0.7293073567202534,0.375
2021-01-01,239685,194870,24263,2609,0.7250044821609992,0.3727142857142857
2021-01-02,240453,195143,24458,2632,0.7308312914599893,0.376
2021-01-03,240908,195355,24780,2665,0.7404529970716548,0.3807142857142857
2021-01-04,241797,196006,24962,2657,0.7458913524173788,0.37957142857142856
2021-01-05,243335,197472,24871,2616,0.7431721747445168,0.3737142857142857
2021-01-06,244799,198725,24708,2607,0.7383015597920277,0.37242857142857144
2021-01-07,246341,200048,24488,2573,0.7317277236598339,0.36757142857142855
2021-01-08,247933,201255,24377,2606,0.7284109245204088,0.3722857142857143
2021-01-09,248954,202134,24240,2600,0.7243172174744517,0.37142857142857144
2021-01-10,249792,202398,24526,2620,0.7328632044463037,0.3742857142857143
2021-01-11,250745,203041,24812,2666,0.7414091914181558,0.38085714285714284
2021-01-12,252023,204359,24703,2678,0.738152154425387,0.38257142857142856
2021-01-13,253675,205641,24735,2701,0.7391083487718879,0.38585714285714284
2021-01-14,255303,206771,24983,2716,0.7465188549572701,0.388
2021-01-15,256630,208040,25009,2730,0.7472957628638021,0.39
2021-01-16,257758,209025,24985,2731,0.7465786171039264,0.3901428571428571
2021-01-17,258460,209312,25235,2766,0.7540488854359648,0.39514285714285713
2021-01-18,259819,210169,25584,2803,0.7644773800274905,0.4004285714285714
2021-01-19,261403,211785,25532,2829,0.7629235642144265,0.40414285714285714
2021-01-20,263309,213211,25650,2842,0.7664495308671487,0.406
2021-01-21,264882,214507,25699,2866,0.7679137034602282,0.4094285714285714
2021-01-22,266609,215791,25872,2902,0.773083129145999,0.4145714285714286
2021-01-23,267561,216694,25864,2886,0.7728440805593737,0.4122857142857143
2021-01-24,268474,216934,26357,2955,0.7875754497101536,0.42214285714285715
2021-01-25,269700,217677,26888,3031,0.8034422996474033,0.433
2021-01-26,271080,219121,27005,3071,0.8069383852267974,0.4387142857142857
2021-01-27,272857,220539,27131,3097,0.8107034004661448,0.44242857142857145
2021-01-28,274405,221872,27128,3101,0.8106137572461602,0.443
2021-01-29,276176,223143,27270,3120,0.8148568696587581,0.44571428571428573
2021-01-30,277194,224089,27242,3103,0.8140201996055698,0.4432857142857143
2021-01-31,278034,224375,27573,3148,0.8239108348771887,0.44971428571428573
2021-02-01,279372,225288,27874,3218,0.8329050379489631,0.45971428571428574
2021-02-02,281207,226865,28029,3270,0.837536604314827,0.46714285714285714
2021-02-03,282909,228441,27953,3267,0.8352656427418873,0.4667142857142857
2021-02-04,284658,229944,27766,3240,0.8296778820295225,0.46285714285714286
2021-02-05,286518,231518,27572,3235,0.8238809538038606,0.46214285714285713
2021-02-06,287802,232662,27327,3215,0.8165600908384629,0.4592857142857143
2021-02-07,288827,232946,27652,3262,0.826271439670113,0.466
2021-02-08,290319,233962,27995,3353,0.8365206478216698,0.479
2021-02-09,291775,235686,27634,3332,0.8257335803502062,0.476
2021-02-10,293611,237082,27417,3309,0.8192493874379968,0.4727142857142857
2021-02-11,295374,238722,26963,3327,0.8056833801470149,0.4752857142857143
2021-02-12,297143,240259,26424,3298,0.7895774816231399,0.47114285714285714
2021-02-13,298717,241323,26196,3294,0.7827645969043208,0.4705714285714286
2021-02-14,299591,241597,26401,3299,0.7888902169365923,0.4712857142857143
2021-02-15,300775,242497,26478,3371,0.7911910595828602,0.4815714285714286
2021-02-16,302476,244207,26195,3338,0.7827347158309926,0.47685714285714287
2021-02-17,304302,245706,25929,3340,0.7747863503257038,0.47714285714285715
2021-02-18,306017,247096,25717,3384,0.768451562780135,0.48342857142857143
2021-02-19,307704,248457,25506,3380,0.7621466563078946,0.4828571428571429
2021-02-20,308924,249520,25269,3369,0.755064841929122,0.48128571428571426
2021-02-21,309722,249727,25464,3392,0.7608916512281121,0.4845714285714286
2021-02-22,311032,250532,25831,3407,0.7718580051395446,0.4867142857142857
2021-02-23,312355,252083,25660,3435,0.7667483416004303,0.4907142857142857
2021-02-24,314124,253450,25614,3436,0.7653738122273352,0.4908571428571429
2021-02-25,315552,254868,25317,3430,0.7564991334488734,0.49
2021-02-26,317404,256326,25130,3445,0.7509113727365087,0.49214285714285716
2021-02-27,318567,257258,24989,3453,0.746698141397239,0.49328571428571427
2021-02-28,319418,257555,25280,3492,0.7553935337357318,0.49885714285714283
2021-03-01,320481,258384,25430,3544,0.7598756947349549,0.5062857142857143
2021-03-02,321973,259893,25263,3586,0.7548855554891531,0.5122857142857142
2021-03-03,323706,261289,25111,3637,0.7503436323432737,0.5195714285714286
2021-03-04,325332,262690,24891,3633,0.7437697962110799,0.519
2021-03-05,326893,263919,24765,3680,0.7400047809717325,0.5257142857142857
2021-03-06,328039,264909,24625,3689,0.735821430705791,0.527
2021-03-07,328888,265295,24818,3743,0.7415884778581247,0.5347142857142857
2021-03-08,330232,266096,25195,3849,0.7528536425028387,0.5498571428571428
2021-03-09,331602,267539,25201,3918,0.7530329289428076,0.5597142857142857
2021-03-10,333108,269019,24969,3918,0.7461005199306759,0.5597142857142857
2021-03-11,334908,270433,24858,3992,0.7427837207912508,0.5702857142857143
2021-03-12,336378,271678,24749,4033,0.7395266837984821,0.5761428571428572
2021-03-13,337515,272615,24671,4070,0.737195960078886,0.5814285714285714
2021-03-14,338396,272960,24989,4127,0.746698141397239,0.5895714285714285
2021-03-15,339702,273771,25469,4219,0.7610410565947529,0.6027142857142858
